time us,CH1 mV
1.70E-01,3.2
1.70E-01,-13.6
1.71E-01,-2.4
1.71E-01,-22.4
1.72E-01,-10.4
1.72E-01,11.2
1.72E-01,19.2
1.73E-01,15.2
1.73E-01,8
1.74E-01,-6.4
1.74E-01,-0.8
1.74E-01,-15.2
1.75E-01,-40.8
1.75E-01,-12.8
1.76E-01,-32
1.76E-01,-5.6
1.76E-01,0
1.77E-01,0
1.77E-01,0
1.78E-01,-13.6
1.78E-01,-8
1.78E-01,0
1.79E-01,-27.2
1.79E-01,15.2
1.80E-01,20.8
1.80E-01,11.2
1.80E-01,0.8
1.81E-01,2.4
1.81E-01,33.6
1.82E-01,31.2
1.82E-01,40.8
1.82E-01,45.6
1.83E-01,33.6
1.83E-01,14.4
1.84E-01,10.4
1.84E-01,-21.6
1.84E-01,-24
1.85E-01,-3.2
1.85E-01,5.6
1.86E-01,-22.4
1.86E-01,-20
1.86E-01,-16
1.87E-01,-25.6
1.87E-01,-7.2
1.88E-01,20.8
1.88E-01,6.4
1.88E-01,-8
1.89E-01,9.6
1.89E-01,19.2
1.90E-01,0.8
1.90E-01,-22.4
1.90E-01,-38.4
1.91E-01,-8.8
1.91E-01,2.4
1.92E-01,-3.2
1.92E-01,-0.8
1.92E-01,-8
1.93E-01,-20
1.93E-01,8.8
1.94E-01,18.4
1.94E-01,22.4
1.94E-01,-5.6
1.95E-01,11.2
1.95E-01,13.6
1.96E-01,33.6
1.96E-01,35.2
1.96E-01,29.6
1.97E-01,15.2
1.97E-01,9.6
1.98E-01,-11.2
1.98E-01,5.6
1.98E-01,-25.6
1.99E-01,-38.4
1.99E-01,12.8
2.00E-01,-0.8
2.00E-01,-37.6
2.00E-01,-30.4
2.01E-01,-28
2.01E-01,0
2.02E-01,1.6
2.02E-01,24
2.02E-01,-8
2.03E-01,-12.8
2.03E-01,16.8
2.04E-01,16.8
2.04E-01,22.4
2.04E-01,24.8
2.05E-01,36
2.05E-01,24
2.06E-01,15.2
2.06E-01,36
2.06E-01,24.8
2.07E-01,-13.6
2.07E-01,-4
2.08E-01,-7.2
2.08E-01,-7.2
2.08E-01,-30.4
2.09E-01,-21.6
2.09E-01,-0.8
2.10E-01,1.6
2.10E-01,-15.2
2.10E-01,-8.8
2.11E-01,1.6
2.11E-01,-8
2.12E-01,-10.4
2.12E-01,-8.8
2.12E-01,-3.2
2.13E-01,10.4
2.13E-01,4
2.14E-01,14.4
2.14E-01,5.6
2.14E-01,7.2
2.15E-01,15.2
2.15E-01,-16
2.16E-01,-42.4
2.16E-01,-48.8
2.16E-01,-28.8
2.17E-01,-8.8
2.17E-01,-16.8
2.18E-01,3.2
2.18E-01,12.8
2.18E-01,20.8
2.19E-01,44.8
2.19E-01,9.6
2.20E-01,-0.8
2.20E-01,0
2.20E-01,-18.4
2.21E-01,-17.6
2.21E-01,-12
